"","country","cropid","year","exp_area_heat waves","exp_area_cold waves","exp_area_droughts","exp_area_floods","exp_area_fire weather risk"
"1","AT","C1100",1986,0,0,0.749126692280047,0,0
"2","AT","C1100",1987,0,0,0.749126692280047,0,0
"3","AT","C1100",1988,0,0,0.749126692280047,0,0
"4","AT","C1100",1989,0,0,0.749126692280047,0,0
"5","AT","C1100",1990,0,0,0.749126692280047,0,0
"6","AT","C1100",1991,0,0,0.749126692280047,0.210950669093513,0
"7","AT","C1100",1992,0,0,0.789049330906487,0,0.749126692280047
"8","AT","C1100",1993,0,0.749126692280047,0.749126692280047,0,0
"9","AT","C1100",1994,0,0,0.749126692280047,0,0
"10","AT","C1100",1995,0,0,0.749126692280047,0,0
"11","AT","C1100",1996,0,0.749126692280047,0.749126692280047,0,0
"12","AT","C1100",1997,0,0,0.749126692280047,0,0
"13","AT","C1100",1998,0,0,0.749126692280047,0,0
"14","AT","C1100",1999,0,0,0.749126692280047,1,0
"15","AT","C1100",2000,0,0,0.789049330906487,0,0
"16","AT","C1100",2001,0,0,0.749126692280047,0,0
"17","AT","C1100",2002,0,0,0.749126692280047,0,0
"18","AT","C1100",2003,0.250873307719953,0.210950669093513,0.789049330906487,0,0.96007736137356
"19","AT","C1100",2004,0,0,0.749126692280047,0,0
"20","AT","C1100",2005,0,0,0.749126692280047,1,0
"21","AT","C1100",2006,0,0,0.749126692280047,0.96007736137356,0
"22","AT","C1100",2007,0,0,0.749126692280047,0,0
"23","AT","C1100",2008,0,0,0.749126692280047,0,0
"24","AT","C1100",2009,0,0,0.749126692280047,0.749126692280047,0
"25","AT","C1100",2010,0,0,0.749126692280047,0,0
"26","AT","C1100",2011,0,0,0.749126692280047,0,0
"27","AT","C1100",2012,0.789049330906487,0.250873307719953,0.749126692280047,0,0
"28","AT","C1100",2013,0,0,0.749126692280047,0.210950669093513,0
"29","AT","C1100",2014,0,0,0.749126692280047,0,0
"30","AT","C1100",2015,1,0,0.749126692280047,0,0
"31","AT","C1100",2016,0,0,0.749126692280047,0,0
"32","AT","C1100",2017,0.789049330906487,0,0.789049330906487,0,0
"33","AT","C1100",2018,0,0,0.749126692280047,0,0
"34","AT","C1100",2019,0.789049330906487,0,0.749126692280047,0,0
"35","AT","C1200",1986,0,0,0.760308417295282,0,0
"36","AT","C1200",1987,0,0,0.760308417295282,0,0
"37","AT","C1200",1988,0,0,0.760308417295282,0,0
"38","AT","C1200",1989,0,0,0.760308417295282,0,0
"39","AT","C1200",1990,0,0,0.760308417295282,0,0
"40","AT","C1200",1991,0,0,0.760308417295282,0.177511385416117,0
"41","AT","C1200",1992,0,0,0.822488614583882,0,0.760308417295282
"42","AT","C1200",1993,0,0.760308417295282,0.760308417295282,0,0
"43","AT","C1200",1994,0,0,0.760308417295282,0,0
"44","AT","C1200",1995,0,0,0.760308417295282,0,0
"45","AT","C1200",1996,0,0.760308417295282,0.760308417295282,0,0
"46","AT","C1200",1997,0,0,0.760308417295282,0,0
"47","AT","C1200",1998,0,0,0.760308417295282,0,0
"48","AT","C1200",1999,0,0,0.760308417295282,0.999999999999999,0
"49","AT","C1200",2000,0,0,0.822488614583882,0,0
"50","AT","C1200",2001,0,0,0.760308417295282,0,0
"51","AT","C1200",2002,0,0,0.760308417295282,0,0
"52","AT","C1200",2003,0.239691582704717,0.177511385416117,0.822488614583882,0,0.937819802711399
"53","AT","C1200",2004,0,0,0.760308417295282,0,0
"54","AT","C1200",2005,0,0,0.760308417295282,0.999999999999999,0
"55","AT","C1200",2006,0,0,0.760308417295282,0.937819802711399,0
"56","AT","C1200",2007,0,0,0.760308417295282,0,0
"57","AT","C1200",2008,0,0,0.760308417295282,0,0
"58","AT","C1200",2009,0,0,0.760308417295282,0.760308417295282,0
"59","AT","C1200",2010,0,0,0.760308417295282,0,0
"60","AT","C1200",2011,0,0,0.760308417295282,0,0
"61","AT","C1200",2012,0.822488614583882,0.239691582704717,0.760308417295282,0,0
"62","AT","C1200",2013,0,0,0.760308417295282,0.177511385416117,0
"63","AT","C1200",2014,0,0,0.760308417295282,0,0
"64","AT","C1200",2015,0.999999999999999,0,0.760308417295282,0,0
"65","AT","C1200",2016,0,0,0.760308417295282,0,0
"66","AT","C1200",2017,0.822488614583882,0,0.822488614583882,0,0
"67","AT","C1200",2018,0,0,0.760308417295282,0,0
"68","AT","C1200",2019,0.822488614583882,0,0.760308417295282,0,0
"69","AT","C1300",1986,0,0,0.594448077051434,0,0
"70","AT","C1300",1987,0,0,0.594448077051434,0,0
"71","AT","C1300",1988,0,0,0.594448077051434,0,0
"72","AT","C1300",1989,0,0,0.594448077051434,0,0
"73","AT","C1300",1990,0,0,0.594448077051434,0,0
"74","AT","C1300",1991,0,0,0.594448077051434,0.30571784153446,0
"75","AT","C1300",1992,0,0,0.69428215846554,0,0.594448077051434
"76","AT","C1300",1993,0,0.594448077051434,0.594448077051434,0,0
"77","AT","C1300",1994,0,0,0.594448077051434,0,0
