"","country","crop_name","crop_id","uncertainty_indicator","odds_ratio_days_heatwave","odds_ratio_days_coldwave","odds_ratio_days_drought","odds_ratio_days_flood","odds_ratio_days_firerisk","odds_ratio_exp_area_heatwaves","odds_ratio_exp_area_coldwaves","odds_ratio_exp_area_droughts","odds_ratio_exp_area_floods","odds_ratio_exp_area_fireweatherrisk","max_likelihood_pseudo_R2","Wald_Test_p_val_days_heatwave","Wald_Test_p_val_days_coldwave","Wald_Test_p_val_days_drought","Wald_Test_p_val_days_flood","Wald_Test_p_val_days_firerisk","Wald_Test_p_val_exp_area_heatwaves","Wald_Test_p_val_exp_area_coldwaves","Wald_Test_p_val_exp_area_droughts","Wald_Test_p_val_exp_area_floods","Wald_Test_p_val_exp_area_fireweatherrisk"
"1","AT","Wheat & spelt","C1100","0.543","0.999317908592209","0.998932519056616","0.9963887418356","1.04935308449158","1.01694207597069","1.18663092255475","0.985367033194802","0.774283988450394","0.647154225158064","0.627659104660257","0.197727080059374","0.953704453807165","0.837125040525111","0.450860497877345","0.702984096292464","0.142287064289412","0.823753086949822","0.974088199292554","0.412036172436574","0.551738081565745","0.666632316541853"
"2","AT","Rye","C1200","0.239","0.995677804057643","1.0073412064806","1.00271758482215","0.826490697903604","1.00121839504097","1.02993853741114","0.822422376840058","1.21924487749277","1.54039929385422","1.20295076172252","0.311840271365998","0.673697157404646","0.13218823717349","0.536049456893778","0.101246037848319","0.905764466229832","0.916747532890517","0.278970431568821","0.109083677819822","0.136163023581443","0.663327073710655"
"3","AT","Barley","C1300","1","0.984693948370309","1.00224126851107","0.994096116871392","0.758593532725306","1.01068339709625","2.36349466837486","0.952264436831817","0.644673748877812","3.51537764568266","2.24522148986842","0.420671676226425","0.258455580579997","0.650048451281354","0.168440537706799","0.0556721659225708","0.287567202579764","0.228607896640044","0.8899975459843","0.0849017791513919","0.0517134084588787","0.344033542137966"
"4","AT","Oats","C1400","0.239","0.995834985893661","0.997216379108624","1.00090966715459","0.985353826223938","1.01251780351968",NA,NA,NA,NA,NA,"0.269883720832076","0.27587403723561","0.438278876117044","0.80154063206685","0.691551777557507","0.0341042780127755","1","1","1","1","1"
"5","AT","Maize","C1500","0.239","1.01581213287045","0.996996268324103","1.00673762827706","1.30543475660631","1.00334608083535","0.847657568461363","1.22973153394629","1.28706302760408","0.534346457210449","0.50930733649045","0.411859922797254","0.23016107868695","0.604419482205065","0.134304436857619","0.179289317789162","0.73361252179186","0.600131143731424","0.365413125696607","0.103331176923639","0.188973312999055","0.245965377668689"
"6","AT","Sorghum","C1700","0.239","1.00171028697859","1.01204976895004","0.998101965812291","1.03122422953222","1.00561736184257","0.942353301119446","0.803691570595599","1.17160776133707","0.905182354815446","0.879360077211306","0.219651115678576","0.861394131485622","0.0291715034257571","0.680647437225639","0.804943785428092","0.58923622085054","0.79292506520494","0.334567017828093","0.266074482063254","0.757742857583159","0.811941410662277"
"7","AT","Rice","C2000","0",NA,"0.999095419926808","1.00163662187294","0.933005663177274","1.00172656288725",NA,NA,NA,NA,NA,"0.0682660066702814","1",NA,"0.866769906320563","0.826550334141464","0.422546616093015","1","1","1","1","1"
"8","AT","Cereals nec","C1900","0.109","0.997366263790768","0.999194987800904","1.00459470610037","1.03054787464458","0.999367474948058",NA,NA,NA,NA,NA,"0.0741297735832953","0.538485315108193","0.841722279042837","0.264654450862518","0.473606278008142","0.921153606987859","1","1","1","1","1"
"9","AT","Dry pulses","P0000","0.63","0.997473899497971","1.00195576037192","0.993442459530386","0.938983685740773","1.01221861900053",NA,NA,NA,NA,NA,"0.178503076706358","0.53116620935293","0.607618064647655","0.0930509984820927","0.11671997597779","0.0500307589311523","1","1","1","1","1"
"10","AT","Roots & tubers","R0000","0.109","1.01303568361771","0.99576500909138","1.00086732690981","1.04515535594312","1.01749402732839","0.89659573263143","0.95354570551353","0.987003177092883","0.86988450864734","0.669040925008444","0.310517861431086","0.167945739435722","0.354688232102501","0.840646749878873","0.654520240946222","0.0935727052992649","0.558408761660024","0.692570803191061","0.872087029413357","0.446151902049532","0.162500730858816"
